alpha_i,alpha_j,D_i,D_j,D_acc_j,D_acc_i_pre,D_acc_ij,D_acc_i_span,D_acc_j_span,effective_length_i,effective_length_j,length_i,length_j,Df,pd_pr,pd_pp,Cij
3.9143946580898775e-05,4.605170185988091e-05,-2e-06,1e-05,-1.84,1.38,3.9,-0.1639999999999999,0.6799999999999999,24515.55207188833,20766.84200913604,82000.0,68000.0,141042905701.5625,0.0,0.0,0.0003807421591919
5.0656872045869005e-05,4.374911676688687e-05,1.3e-05,-6e-06,-0.044,6.199999999999999,5.71,0.793,-0.534,18842.4818871704,22391.98529293308,61000.0,89000.0,225263728486.71875,0.0,0.0,-0.0251572453358659
4.1446531673892815e-05,4.835428695287496e-05,1.7e-05,-2e-06,2.226,5.01,2.6,1.292,-0.184,23093.492007756155,20438.82907534097,76000.0,92000.0,412752321042.25,0.0,0.0,-0.0003297861974392
4.1446531673892815e-05,5.52620422318571e-05,-6e-06,3e-06,-3.0040000000000004,4.4,7.59,-0.438,0.186,22956.59278489447,17507.338331838262,73000.0,62000.0,232303228325.1875,0.0,0.0,-0.0101846886902628
3.9143946580898775e-05,5.52620422318571e-05,3e-06,-4e-06,-2.746,-7.299999999999999,-4.89,0.207,-0.3359999999999999,23831.452783624394,17921.19273494462,69000.0,84000.0,238631966764.3125,0.0,0.0,0.0064401552513385
5.0656872045869005e-05,4.1446531673892815e-05,-5e-06,1e-05,5.63,8.82,3.87,-0.2499999999999999,0.6799999999999999,18172.60204487187,22686.97604759796,50000.0,68000.0,259539950140.21875,0.0,0.0,0.0101330136923065
4.605170185988091e-05,5.0656872045869005e-05,6e-06,2e-05,8.13,5.520000000000001,-1.13,0.444,1.4799999999999998,20995.68200093097,19275.756037144973,74000.0,74000.0,390646411227.0,0.0,0.0,-0.0174998522881931
3.9143946580898775e-05,3.9143946580898775e-05,3e-06,1.1e-05,7.959,0.379999999999999,-6.49,0.24,1.089,24431.578834277698,25016.66158780473,80000.0,99000.0,267496964928.15625,0.0,0.0,-0.0037771708384455
3.9143946580898775e-05,4.1446531673892815e-05,-1e-06,-3e-06,-4.959,-1.9499999999999995,2.76,-0.055,-0.249,22579.61232369104,23353.879508442664,55000.0,83000.0,337052393800.5,0.0,0.0,8.993311545828163e-05
4.1446531673892815e-05,4.374911676688687e-05,8e-06,-4e-06,-1.402,4.810000000000001,5.940000000000001,0.48,-0.2719999999999999,22120.63557219772,21690.71218189042,60000.0,68000.0,483269732918.6875,0.0,0.0,0.0130940330797342
3.9143946580898775e-05,5.0656872045869005e-05,1.5e-05,1.4e-05,7.918000000000001,4.250000000000001,-2.31,1.335,1.358,24762.69933878068,19595.660395683244,89000.0,97000.0,116378923756.5625,0.0,0.0,-0.0256901731187773
5.295945713886305e-05,5.0656872045869005e-05,5e-06,1.3e-05,-5.6770000000000005,-6.5600000000000005,0.3000000000000002,0.48,1.183,18765.403630241355,19544.158686505823,96000.0,91000.0,112928192823.625,0.0,0.0,0.2297083006374095
3.9143946580898775e-05,4.835428695287496e-05,1.7e-05,2e-05,-2.140000000000001,-9.16,-5.340000000000001,0.884,1.68,22209.89417584817,20324.59531887912,52000.0,84000.0,177694405566.71875,0.0,0.0,-0.0051466431470122
3.9143946580898775e-05,4.374911676688687e-05,7.000000000000001e-06,-1e-06,4.467,3.3199999999999994,-1.23,0.518,-0.0829999999999999,24136.35666805652,22252.22062884647,74000.0,83000.0,421525783838.34375,0.0,0.0,-0.0293084583819905
5.295945713886305e-05,5.0656872045869005e-05,1e-05,-6e-06,2.616,8.31,5.340000000000001,0.7599999999999999,-0.354,18545.03760633836,18746.71492273184,76000.0,59000.0,283983733251.4375,0.0,0.0,0.0037668258807097
4.835428695287496e-05,5.295945713886305e-05,1.5e-05,1.7e-05,4.961,6.8100000000000005,3.26,0.99,1.411,19830.40363771792,18649.52937636767,66000.0,83000.0,282272513832.71875,0.0,0.0,0.0077363894707254
3.9143946580898775e-05,3.9143946580898775e-05,8e-06,-1e-06,-3.504,-10.27,-6.86,0.496,-0.094,23290.75347765332,24902.067303322303,62000.0,94000.0,308346783867.0,0.0,0.0,0.0055556903769377
5.0656872045869005e-05,4.835428695287496e-05,1.6e-05,-6e-06,-4.244,-5.0,-1.17,0.928,-0.414,18695.06776402045,19945.219522790623,58000.0,69000.0,195007313736.1875,0.0,0.0,-0.1369852269661018
3.9143946580898775e-05,3.6841361487904736e-05,0.0,1.3e-05,-1.74,-0.7899999999999998,2.12,0.0,1.1700000000000002,24995.5010000427,26157.887645910603,98000.0,90000.0,439469410651.1875,0.0,0.0,0.0137149290998883
4.605170185988091e-05,5.52620422318571e-05,1.6e-05,5e-06,-2.77,-4.53,-1.49,1.584,0.2699999999999999,21487.34302003165,17180.28316464162,99000.0,54000.0,217570007378.5625,0.0,0.0,0.0313110340238301
